City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,chardara,41.2547,67.9692,15.98,32,0,5.37,KZ,1725309080
216,broken hill,-31.95,141.4333,5.75,68,0,4.46,AU,1725309081
217,sulphur,30.2366,-93.3774,32.99,60,0,4.63,US,1725308912
218,acarau,-2.8856,-40.12,25.52,74,29,8.3,BR,1725309014
219,charlestown,-32.95,151.6667,10.41,55,0,1.34,AU,1725309087
220,hadibu,12.65,54.0333,25.84,80,100,8.04,YE,1725309089
221,port-vila,-17.7338,168.3219,18.78,100,40,0.51,VU,1725309091
222,troitsk,54.0979,61.5773,11.69,79,58,4.38,RU,1725309092
223,koppa,13.5304,75.3633,19.97,97,86,2.24,IN,1725309094
224,wailua homesteads,22.0669,-159.378,28.44,69,40,5.14,US,1725309095
225,puerto madero,14.7208,-92.4215,29.69,69,100,2.99,MX,1725309096
226,sitka,57.0531,-135.33,13.94,82,75,1.54,US,1725309017
227,arraial do cabo,-22.9661,-42.0278,21.98,88,20,8.23,BR,1725309099
228,kinablangan,7.6947,126.5503,25.03,86,100,1.96,PH,1725309100
229,mongo,12.1844,18.693,23.31,92,100,1.56,TD,1725309101
230,bologoye,57.8799,34.1068,15.86,76,31,1.9,RU,1725309102
231,cherdyn',60.403,56.4787,8.63,85,100,2.89,RU,1725309104
232,san matias,-16.3667,-58.4,37.18,14,0,1.69,BO,1725309105
233,tabuk,17.4189,121.4443,22.34,99,100,2.93,PH,1725309106
234,isangel,-19.55,169.2667,23.58,70,6,2.9,VU,1725309108
235,bentiu,9.2333,29.8333,22.12,97,100,0.82,SS,1725309110
236,sanya,18.2431,109.505,26.09,94,20,2.0,CN,1725309112
237,chiang klang,19.2938,100.8617,23.39,99,97,0.39,TH,1725309113
238,noyabrsk,63.1994,75.4507,7.25,97,100,1.95,RU,1725309115
239,quatre cocos,-20.2078,57.7625,22.27,76,36,5.35,MU,1725309116
240,hermanus,-34.4187,19.2345,16.81,63,1,1.95,ZA,1725309117
241,farah,32.5,62.5,24.4,15,0,1.75,AF,1725309118
242,karratha,-20.7377,116.8463,24.68,35,26,2.53,AU,1725309120
243,colonia,50.9333,6.95,22.29,84,0,1.54,DE,1725309121
244,berrouaghia,36.1352,2.9109,23.04,69,0,1.15,DZ,1725309122
245,lazaro cardenas,17.9583,-102.2,29.01,73,100,2.31,MX,1725309123
246,mil'kovo,55.6078,37.7956,21.28,50,0,2.78,RU,1725309125
247,taroa,8.7058,171.2275,28.23,77,16,3.07,MH,1725309126
248,trairi,-3.2778,-39.2689,24.98,76,12,5.47,BR,1725309089
249,whakatane,-37.9585,176.9854,14.73,99,100,0.45,NZ,1725309128
250,severo-yeniseyskiy,60.3725,93.0408,-0.13,89,52,1.66,RU,1725309129
251,la passe,45.5549,-0.8967,18.64,92,100,3.95,FR,1725309131
252,junction city,39.0286,-96.8314,25.89,43,0,5.66,US,1725309132
253,longyearbyen,78.2186,15.6401,9.91,76,75,5.66,SJ,1725309133
